City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,Ruwi,23.5996,58.5507,78.8,53,0,3.44,OM,2021-04-15 02:24:04
102,Hofn,64.2539,-15.2082,43.12,88,99,9.91,IS,2021-04-15 02:11:21
103,Cape Town,-33.9258,18.4232,63.0,88,0,8.05,ZA,2021-04-15 02:20:16
104,Dikson,73.5069,80.5464,-16.33,100,100,7.34,RU,2021-04-15 02:24:05
105,Butaritari,3.0707,172.7902,82.13,75,54,7.02,KI,2021-04-15 02:19:15
106,Freeport,40.6576,-73.5832,60.8,67,90,5.75,US,2021-04-15 02:21:00
107,Airai,-8.9266,125.4092,71.06,43,64,3.0,TL,2021-04-15 02:24:05
108,North Bend,43.4065,-124.2243,57.0,58,1,16.11,US,2021-04-15 02:23:35
109,Lazaro Cardenas,17.9583,-102.2,75.52,74,0,5.75,MX,2021-04-15 02:24:06
110,Ostrovnoy,68.0531,39.5131,26.85,84,79,27.92,RU,2021-04-15 02:24:06
111,Cabo San Lucas,22.8909,-109.9124,84.2,37,1,5.75,MX,2021-04-15 02:24:06
112,Kuruman,-27.4524,23.4325,69.24,33,74,7.31,ZA,2021-04-15 02:24:06
113,Catuday,16.2923,119.8062,83.5,62,19,2.93,PH,2021-04-15 02:20:46
114,Sao Joao Da Barra,-21.6403,-41.0511,69.85,77,22,9.35,BR,2021-04-15 02:19:44
115,Ranong,9.9658,98.6348,82.4,100,20,0.38,TH,2021-04-15 02:14:25
116,Broken Hill,-31.95,141.4333,64.4,29,95,11.5,AU,2021-04-15 02:20:41
117,Mount Gambier,-37.8333,140.7667,62.6,77,40,17.27,AU,2021-04-15 02:19:42
118,Ambilobe,-13.2,49.05,70.77,94,99,3.22,MG,2021-04-15 02:24:07
119,Vaini,-21.2,-175.2,82.4,69,20,8.05,TO,2021-04-15 02:24:07
120,Belaya Gora,68.5333,146.4167,12.47,77,80,4.74,RU,2021-04-15 02:24:08
121,Progreso,21.2833,-89.6667,87.8,58,40,4.61,MX,2021-04-15 02:24:08
122,Rocha,-34.4833,-54.3333,57.49,93,25,6.08,UY,2021-04-15 02:23:26
123,Russell,32.3502,-85.1999,69.8,60,90,4.61,US,2021-04-15 02:20:21
124,Sao Desiderio,-12.3633,-44.9733,74.8,59,100,1.23,BR,2021-04-15 02:24:09
125,Storforshei,66.4043,14.5233,37.0,90,100,1.99,NO,2021-04-15 02:24:09
126,Sao Filipe,14.8961,-24.4956,76.33,57,38,11.48,CV,2021-04-15 02:21:15
127,Bekhtery,46.251,32.2927,46.4,100,75,11.18,UA,2021-04-15 02:24:09
128,Sitka,57.0531,-135.33,42.8,81,90,6.91,US,2021-04-15 02:21:48
129,Harnosand,62.6323,17.9379,33.01,86,3,4.61,SE,2021-04-15 02:24:10
130,Mayo,38.8876,-76.5119,57.2,100,90,5.75,US,2021-04-15 02:14:45
131,Saint George,37.1041,-113.5841,68.0,16,1,10.36,US,2021-04-15 02:20:23
132,Zverinogolovskoye,54.4586,64.8542,41.85,80,22,6.8,RU,2021-04-15 02:24:11
133,Souillac,-20.5167,57.5167,77.0,88,75,2.3,MU,2021-04-15 02:24:11
